tc_id,title,source_sheet,source_row,area,menu_path,depth,entry_method,entry_evidence,text_input_required,focus_nav_required,mutation_suspected,baseline_screen_id,anchor_state,anchor_reason,confidence,recommended_probe
23.Settings#196.0,Settings / 알림 읽어주기,23.Settings,201,알림 읽어주기,설정 > 알림 읽어주기 > 정각 알림 읽어주기 ON > 임의의 시간 설정 > 취소,4,MENU_NAVIGATION,no baseline deep-link for area; tap-navigation required,False,False,True,,MISSING,no baseline d1 screen for area '알림 읽어주기',0.3,PROBE_DEFER_MUTATION
23.Settings#197.0,Settings / 알림 읽어주기,23.Settings,202,알림 읽어주기,설정 > 알림 읽어주기 > 정각 알림 읽어주기 ON > 임의의 시간 설정 > 확인,4,MENU_NAVIGATION,no baseline deep-link for area; tap-navigation required,False,False,True,,MISSING,no baseline d1 screen for area '알림 읽어주기',0.3,PROBE_DEFER_MUTATION
23.Settings#198.0,Settings / 알림 읽어주기,23.Settings,203,알림 읽어주기,설정 > 알림 읽어주기 > 정각 알림 읽어주기 ON > 알림 종료 시간,3,MENU_NAVIGATION,no baseline deep-link for area; tap-navigation required,False,False,True,,MISSING,no baseline d1 screen for area '알림 읽어주기',0.3,PROBE_DEFER_MUTATION
23.Settings#199.0,Settings / 알림 읽어주기,23.Settings,204,알림 읽어주기,설정 > 알림 읽어주기 > 정각 알림 읽어주기 ON > 알림 요일,3,MENU_NAVIGATION,no baseline deep-link for area; tap-navigation required,False,False,True,,MISSING,no baseline d1 screen for area '알림 읽어주기',0.3,PROBE_DEFER_MUTATION
23.Settings#200.0,Settings / 알림 읽어주기,23.Settings,205,알림 읽어주기,설정 > 알림 읽어주기 > 정각 알림 읽어주기 ON > 알림 요일 > 임의의 메뉴 변경,4,MENU_NAVIGATION,no baseline deep-link for area; tap-navigation required,True,False,True,,MISSING,no baseline d1 screen for area '알림 읽어주기',0.3,PROBE_DEFER_MUTATION
23.Settings#201.0,Settings / 알림 읽어주기,23.Settings,206,알림 읽어주기,설정 > 알림 읽어주기 > 정각 알림 읽어주기 ON > 알림 요일 > 임의의 메뉴 변경 > 확인,5,MENU_NAVIGATION,no baseline deep-link for area; tap-navigation required,False,False,True,,MISSING,no baseline d1 screen for area '알림 읽어주기',0.3,PROBE_DEFER_MUTATION
23.Settings#202.0,Settings / 알림 읽어주기,23.Settings,207,알림 읽어주기,설정 > 알림 읽어주기 > 정각 알림 읽어주기 ON > 알림 요일 > 임의의 메뉴 변경 > 취소,5,MENU_NAVIGATION,no baseline deep-link for area; tap-navigation required,False,False,True,,MISSING,no baseline d1 screen for area '알림 읽어주기',0.3,PROBE_DEFER_MUTATION
23.Settings#203.0,Settings / 알림 읽어주기,23.Settings,208,알림 읽어주기,설정 > 알림 읽어주기 > 정각 알림 읽어주기 ON > 정각까지 대기,3,MENU_NAVIGATION,no baseline deep-link for area; tap-navigation required,False,False,True,,MISSING,no baseline d1 screen for area '알림 읽어주기',0.3,PROBE_DEFER_MUTATION
23.Settings#204.0,Settings / 알림 읽어주기,23.Settings,209,알림 읽어주기,설정 > 알림 읽어주기 > 정각 알림 읽어주기 ON > 정각까지 대기,3,MENU_NAVIGATION,no baseline deep-link for area; tap-navigation required,False,False,True,,MISSING,no baseline d1 screen for area '알림 읽어주기',0.3,PROBE_DEFER_MUTATION
23.Settings#253.0,Settings / 배터리,23.Settings,258,배터리,설정 > 배터리,1,MENU_NAVIGATION,no baseline deep-link for area; tap-navigation required,False,False,False,,MISSING,no baseline d1 screen for area '배터리',0.3,PROBE_PRIORITY_MEDIUM
