tc_id,baseline,tier0,tier1,tier2,tier0_screen,tier0_focus_candidate,tier0_adjudicate,optimistic_upper_bound
ALTBASIC_CAL_354,False,False,False,False,False,True,False,True
ALTBASIC_CAL_356,False,False,False,True,False,False,False,True
ALTBASIC_CAL_357,False,False,False,True,False,False,False,True
ALTBASIC_MSG_068,False,False,False,False,False,False,False,True
ALTBASIC_MSG_073,False,False,True,True,False,False,False,True
ALTBASIC_MSG_074,False,False,True,True,False,False,False,True
ALTBASIC_MSG_075,False,False,False,False,False,False,False,True
ALTBASIC_MSG_076,False,False,False,False,False,False,False,True
ALTBASIC_MSG_080,False,False,False,False,False,False,False,False
ALTBASIC_MSG_081,False,False,True,True,False,False,False,True
ALTBASIC_MSG_082,False,False,True,True,False,False,False,True
ALTBASIC_CNT_002,False,False,True,True,False,False,False,True
ALTBASIC_CNT_003,False,False,False,False,False,True,False,True
ALTBASIC_CNT_004,False,False,False,False,False,True,False,True
ALTBASIC_CNT_005,False,False,False,False,False,True,False,True
ALTBASIC_CNT_006,False,False,False,False,False,True,False,True
ALTBASIC_CNT_048,False,False,False,False,False,True,False,True
ALTBASIC_CNT_049,False,False,False,False,False,True,False,True
ALTBASIC_CNT_050,False,False,False,False,False,True,False,True
ALTBASIC_CNT_053,False,False,False,False,False,True,False,True
ALTBASIC_CNT_054,False,False,False,False,False,True,False,True
ALTBASIC_CNT_055,False,False,False,False,False,True,False,True
ALTBASIC_CNT_057,True,True,True,True,True,True,True,True
ALTBASIC_CNT_065,False,False,False,False,False,True,False,True
ALTBASIC_CNT_068,False,False,False,False,False,True,False,True
ALTBASIC_CNT_069,False,False,False,False,False,True,False,True
ALTBASIC_CNT_070,False,False,False,False,False,True,False,True
ALTBASIC_CNT_072,False,False,False,False,False,True,False,True
ALTBASIC_CNT_077,False,False,False,False,False,False,False,False
ALTBASIC_CNT_079,False,False,False,False,False,True,False,True
ALTBASIC_CAM_130,False,False,False,False,False,False,False,False
ALTBASIC_CAM_131,False,False,False,False,False,False,False,False
ALTBASIC_CAM_132,False,False,False,False,False,False,False,False
ALTBASIC_CAM_133,False,False,False,False,False,False,False,False
ALTBASIC_CAM_134,False,False,False,False,False,False,False,False
ALTBASIC_CAM_135,False,False,False,False,False,False,False,False
ALTBASIC_CAM_136,False,False,False,False,False,False,False,False
ALTBASIC_CAM_137,False,False,False,False,False,False,False,False
